--2020-07-24 04:00:02--  ftp://bks-speedtest-1.tele2.net/100MB.zip
           => ‘/dev/null’
Resolving bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)... 90.130.74.113, 2a00:800:1010:9::2
Connecting to bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)|90.130.74.113|:21... connected.
Logging in as anonymous ... Logged in!
==> SYST ... done.    ==> PWD ... done.
 39150K .......... .......... .......... .......... .......... 38%  103M 2s
 39200K .......... .......... .......... .......... .......... 38%  116M 2s
 39250K .......... .......... .......... .......... .......... 38%  123M 2s
 39300K .......... .......... .......... .......... .......... 38%  116M 2s
 39350K .......... .......... .......... .......... .......... 38%  103M 2s
 39400K .......... .......... .......... .......... .......... 38%  107M 2s
 39450K .......... .......... .......... .......... .......... 38%  120M 2s
 39500K .......... .......... .......... .......... .......... 38%  111M 2s
 39550K .......... .......... .......... .......... .......... 38%  117M 2s
 39600K .......... .......... .......... .......... .......... 38%  102M 2s
 39650K .......... .......... .......... .......... .......... 38%  121M 2s
 39700K .......... .......... .......... .......... .......... 38%  115M 2s
 39750K .......... .......... .......... .......... .......... 38% 3.86M 2s
 39800K .......... .......... .......... .......... .......... 38%  241M 2s
 39850K .......... .......... .......... .......... .......... 38%  140M 2s
 39900K .......... .......... .......... .......... .......... 39%  113M 2s
 39950K .......... .......... .......... .......... .......... 39%  121M 2s
 40000K .......... .......... .......... .......... .......... 39%  102M 2s
 40050K .......... .......... .......... .......... .......... 39%  121M 2s
 40100K .......... .......... .......... .......... .......... 39%  109M 2s
 40150K .......... .......... .......... .......... .......... 39%  113M 2s
 40200K .......... .......... .......... .......... .......... 39% 97.3M 2s
 40250K .......... .......... .......... .......... .......... 39%  115M 2s
 40300K .......... .......... .......... .......... .......... 39%  118M 2s
 40350K .......... .......... .......... .......... .......... 39%  112M 2s
 40400K .......... .......... .......... .......... .......... 39%  107M 2s
 40450K .......... .......... .......... .......... .......... 39%  111M 2s
 40500K .......... .......... .......... .......... .......... 39%  120M 2s
 40550K .......... .......... .......... .......... .......... 39%  121M 2s
 40600K .......... .......... .......... .......... .......... 39%  104M 2s
 40650K .......... .......... .......... .......... .......... 39%  112M 2s
 40700K .......... .......... .......... .......... .......... 39%  103M 2s
 40750K .......... .......... .......... .......... .......... 39%  113M 2s
 40800K .......... .......... .......... .......... .......... 39%  111M 2s
 40850K .......... .......... .......... .......... .......... 39%  116M 2s
 40900K .......... .......... .......... .......... .......... 39% 98.6M 2s
 40950K .......... .......... .......... .......... .......... 40%  105M 2s
 41000K .......... .......... .......... .......... .......... 40%  138M 2s
 41050K .......... .......... .......... .......... .......... 40% 99.8M 2s
 41100K .......... .......... .......... .......... .......... 40%  140M 2s
 41150K .......... .......... .......... .......... .......... 40%  104M 2s
 41200K .......... .......... .......... .......... .......... 40%  117M 2s
 41250K .......... .......... .......... .......... .......... 40% 2.71M 2s
 41300K .......... .......... .......... .......... .......... 40%  124M 2s
 41350K .......... .......... .......... .......... .......... 40%  100M 2s
 41400K .......... .......... .......... .......... .......... 40%  115M 2s
 41450K .......... .......... .......... .......... .......... 40%  107M 2s
 41500K .......... .......... .......... .......... .......... 40%  134M 2s
 41550K .......... .......... .......... .......... .......... 40%  107M 2s
 41600K .......... .......... .......... .......... .......... 40%  115M 2s
 41650K .......... .......... .......... .......... .......... 40%  104M 2s
 41700K .......... .......... .......... .......... .......... 40%  124M 2s
 41750K .......... .......... .......... .......... .......... 40%  114M 2s
 41800K .......... .......... .......... .......... .......... 40% 96.4M 2s
 41850K .......... .......... .......... .......... .......... 40%  135M 2s
 41900K .......... .......... .......... .......... .......... 40%  108M 2s
 41950K .......... .......... .......... .......... .......... 41%  119M 2s
 42000K .......... .......... .......... .......... .......... 41%  110M 2s
 42050K .......... .......... .......... .......... .......... 41%  108M 2s
 42100K .......... .......... .......... .......... .......... 41%  110M 2s
 42150K .......... .......... .......... .......... .......... 41%  108M 2s
 42200K .......... .......... .......... .......... .......... 41%  113M 2s
 42250K .......... .......... .......... .......... .......... 41%  121M 2s
 42300K .......... .......... .......... .......... .......... 41%  108M 2s
 42350K .......... .......... .......... .......... .......... 41%  112M 2s
 42400K .......... .......... .......... .......... .......... 41%  113M 2s
 42450K .......... .......... .......... .......... .......... 41%  110M 2s
 42500K .......... .......... .......... .......... .......... 41% 94.2M 2s
 42550K .......... .......... .......... .......... .......... 41%  125M 2s
 42600K .......... .......... .......... .......... .......... 41%  111M 2s
 42650K .......... .......... .......... .......... .......... 41%  122M 2s
 42700K .......... .......... .......... .......... .......... 41% 3.74M 2s
 42750K .......... .......... .......... .......... .......... 41%  224M 2s
 42800K .......... .......... .......... .......... .......... 41%  453M 2s
 42850K .......... .......... .......... .......... .......... 41%  174M 2s
 42900K .......... .......... .......... .......... .......... 41% 57.0M 2s
 42950K .......... .......... .......... .......... .......... 41%  107M 2s
 43000K .......... .......... .......... .......... .......... 42%  253M 2s
 43050K .......... .......... .......... .......... .......... 42%  204M 2s
 43100K .......... .......... .......... .......... .......... 42%  110M 2s
 43150K .......... .......... .......... .......... .......... 42%  113M 2s
 43200K .......... .......... .......... .......... .......... 42%  117M 2s
 43250K .......... .......... .......... .......... .......... 42%  110M 2s
 43300K .......... .......... .......... .......... .......... 42%  110M 2s
 43350K .......... .......... .......... .......... .......... 42%  111M 2s
 43400K .......... .......... .......... .......... .......... 42%  106M 2s
 43450K .......... .......... .......... .......... .......... 42%  123M 2s
 43500K .......... .......... .......... .......... .......... 42%  107M 2s
 43550K .......... .......... .......... .......... .......... 42%  114M 2s
 43600K .......... .......... .......... .......... .......... 42%  105M 2s
 43650K .......... .......... .......... .......... .......... 42%  113M 2s
 43700K .......... .......... .......... .......... .......... 42%  117M 2s
 43750K .......... .......... .......... .......... .......... 42%  107M 2s
 43800K .......... .......... .......... .......... .......... 42%  118M 2s
 43850K .......... .......... .......... .......... .......... 42%  107M 2s
 43900K .......... .......... .......... .......... .......... 42%  125M 2s
 43950K .......... .......... .......... .......... .......... 42% 93.9M 2s
 44000K .......... .......... .......... .......... .......... 43%  119M 2s
 44050K .......... .......... .......... .......... .......... 43%  121M 2s
 44100K .......... .......... .......... .......... .......... 43%  106M 2s
 44150K .......... .......... .......... .......... .......... 43%  121M 2s
 44200K .......... .......... .......... .......... .......... 43% 2.70M 2s
 44250K .......... .......... .......... .......... .......... 43%  109M 2s
 44300K .......... .......... .......... .......... .......... 43%  118M 2s
 44350K .......... .......... .......... .......... .......... 43% 97.5M 2s
 44400K .......... .......... .......... .......... .......... 43%  121M 2s
 44450K .......... .......... .......... .......... .......... 43%  118M 2s
 44500K .......... .......... .......... .......... .......... 43%  111M 2s
 44550K .......... .......... .......... .......... .......... 43%  105M 2s
 44600K .......... .......... .......... .......... .......... 43% 99.6M 2s
 44650K .......... .......... .......... .......... .......... 43%  136M 2s
 44700K .......... .......... .......... .......... .......... 43%  106M 2s
 44750K .......... .......... .......... .......... .......... 43%  101M 2s
 44800K .......... .......... .......... .......... .......... 43%  129M 2s
 44850K .......... .......... .......... .......... .......... 43%  114M 2s
 44900K .......... .......... .......... .......... .......... 43% 41.1M 2s
 44950K .......... .......... .......... .......... .......... 43%  561M 2s
 45000K .......... .......... .......... .......... .......... 43%  443M 2s
 45050K .......... .......... .......... .......... .......... 44%  131M 2s
 45100K .......... .......... .......... .......... .......... 44%  115M 2s
 45150K .......... .......... .......... .......... .......... 44%  119M 2s
 45200K .......... .......... .......... .......... .......... 44%  106M 2s
 45250K .......... .......... .......... .......... .......... 44%  112M 2s
 45300K .......... .......... .......... .......... .......... 44%  120M 2s
 45350K .......... .......... .......... .......... .......... 44% 97.9M 2s
 45400K .......... .......... .......... .......... .......... 44%  113M 2s
 45450K .......... .......... .......... .......... .......... 44%  114M 2s
 45500K .......... .......... .......... .......... .......... 44%  113M 2s
 45550K .......... .......... .......... .......... .......... 44%  115M 2s
 45600K .......... .......... .......... .......... .......... 44% 96.6M 2s
 45650K .......... .......... .......... .......... .......... 44% 3.83M 2s
 45700K .......... .......... .......... .......... .......... 44%  173M 2s
 45750K .......... .......... .......... .......... .......... 44%  108M 2s
 45800K .......... .......... .......... .......... .......... 44%  117M 2s
 45850K .......... .......... .......... .......... .......... 44%  102M 2s
 45900K .......... .......... .......... .......... .......... 44%  115M 2s
 45950K .......... .......... .......... .......... .......... 44%  116M 2s
 46000K .......... .......... .......... .......... .......... 44%  103M 2s
 46050K .......... .......... .......... .......... .......... 45%  113M 2s
 46100K .......... .......... .......... .......... .......... 45%  105M 2s
 46150K .......... .......... .......... .......... .......... 45%  122M 2s
 46200K .......... .......... .......... .......... .......... 45% 97.0M 2s
 46250K .......... .......... .......... .......... .......... 45%  118M 2s
 46300K .......... .......... .......... .......... .......... 45%  118M 2s
 46350K .......... .......... .......... .......... .......... 45% 99.9M 2s
 46400K .......... .......... .......... .......... .......... 45%  128M 2s
 46450K .......... .......... .......... .......... .......... 45%  111M 1s
 46500K .......... .......... .......... .......... .......... 45%  121M 1s
 46550K .......... .......... .......... .......... .......... 45%  112M 1s
 46600K .......... .......... .......... .......... .......... 45%  106M 1s
 46650K .......... .......... .......... .......... .......... 45%  116M 1s
 46700K .......... .......... .......... .......... .......... 45%  104M 1s
 46750K .......... .......... .......... .......... .......... 45%  109M 1s
 46800K .......... .......... .......... .......... .......... 45%  116M 1s
 46850K .......... .......... .......... .......... .......... 45%  124M 1s
 46900K .......... .......... .......... .......... .......... 45%  104M 1s
 46950K .......... .......... .......... .......... .......... 45%  113M 1s
 47000K .......... .......... .......... .......... .......... 45%  118M 1s
 47050K .......... .......... .......... .......... .......... 45% 58.1M 1s
 47100K .......... .......... .......... .......... .......... 46%  123M 1s
 47150K .......... .......... .......... .......... .......... 46%  203M 1s
 47200K .......... .......... .......... .......... .......... 46% 2.77M 1s
 47250K .......... .......... .......... .......... .......... 46%  159M 1s
 47300K .......... .......... .......... .......... .......... 46%  111M 1s
 47350K .......... .......... .......... .......... .......... 46%  116M 1s
 47400K .......... .......... .......... .......... .......... 46%  108M 1s
 47450K .......... .......... .......... .......... .......... 46%  108M 1s
 47500K .......... .......... .......... .......... .......... 46%  116M 1s
 47550K .......... .......... .......... .......... .......... 46% 98.6M 1s
 47600K .......... .......... .......... .......... .......... 46%  128M 1s
 47650K .......... .......... .......... .......... .......... 46%  117M 1s
 47700K .......... .......... .......... .......... .......... 46%  104M 1s
 47750K .......... .......... .......... .......... .......... 46%  112M 1s
 47800K .......... .......... .......... .......... .......... 46%  114M 1s
 47850K .......... .......... .......... .......... .......... 46%  109M 1s
 47900K .......... .......... .......... .......... .......... 46%  114M 1s
 47950K .......... .......... .......... .......... .......... 46%  110M 1s
 48000K .......... .......... .......... .......... .......... 46%  111M 1s
 48050K .......... .......... .......... .......... .......... 46%  122M 1s
 48100K .......... .......... .......... .......... .......... 47%  114M 1s
 48150K .......... .......... .......... .......... .......... 47%  104M 1s
 48200K .......... .......... .......... .......... .......... 47%  116M 1s
 48250K .......... .......... .......... .......... .......... 47%  102M 1s
 48300K .......... .......... .......... .......... .......... 47%  110M 1s
 48350K .......... .......... .......... .......... .......... 47%  129M 1s
 48400K .......... .......... .......... .......... .......... 47% 77.4M 1s
 48450K .......... .......... .......... .......... .......... 47%  205M 1s
 48500K .......... .......... .......... .......... .......... 47%  106M 1s
 48550K .......... .......... .......... .......... .......... 47%  108M 1s
 48600K .......... .......... .......... .......... .......... 47% 4.57M 1s
 48650K .......... .......... .......... .......... .......... 47%  257M 1s
 48700K .......... .......... .......... .......... .......... 47% 17.8M 1s
 48750K .......... .......... .......... .......... .......... 47%  105M 1s
 48800K .......... .......... .......... .......... .......... 47%  115M 1s
 48850K .......... .......... .......... .......... .......... 47%  119M 1s
 48900K .......... .......... .......... .......... .......... 47%  117M 1s
 48950K .......... .......... .......... .......... .......... 47%  109M 1s
 49000K .......... .......... .......... .......... .......... 47%  109M 1s
 49050K .......... .......... .......... .......... .......... 47%  104M 1s
 49100K .......... .......... .......... .......... .......... 47%  112M 1s
 49150K .......... .......... .......... .......... .......... 48%  113M 1s
 49200K .......... .......... .......... .......... .......... 48%  123M 1s
 49250K .......... .......... .......... .......... .......... 48%  113M 1s
 49300K .......... .......... .......... .......... .......... 48%  103M 1s
 49350K .......... .......... .......... .......... .......... 48%  111M 1s
 49400K .......... .......... .......... .......... .......... 48%  105M 1s
 49450K .......... .......... .......... .......... .......... 48%  115M 1s
 49500K .......... .......... .......... .......... .......... 48%  124M 1s
 49550K .......... .......... .......... .......... .......... 48%  102M 1s
 49600K .......... .......... .......... .......... .......... 48%  118M 1s
 49650K .......... .......... .......... .......... .......... 48%  111M 1s
 49700K .......... .......... .......... .......... .......... 48%  121M 1s
 49750K .......... .......... .......... .......... .......... 48%  110M 1s
 49800K .......... .......... .......... .......... .......... 48%  105M 1s
 49850K .......... .......... .......... .......... .......... 48%  119M 1s
 49900K .......... .......... .......... .......... .......... 48%  108M 1s
 49950K .......... .......... .......... .......... .......... 48%  116M 1s
 50000K .......... .......... .......... .......... .......... 48%  119M 1s
 50050K .......... .......... .......... .......... .......... 48% 93.1M 1s
 50100K .......... .......... .......... .......... .......... 48%  132M 1s
 50150K .......... .......... .......... .......... .......... 49% 2.73M 1s
 50200K .......... .......... .......... .......... .......... 49%  215M 1s
 50250K .......... .......... .......... .......... .......... 49%  112M 1s
 50300K .......... .......... .......... .......... .......... 49% 94.2M 1s
 50350K .......... .......... .......... .......... .......... 49%  123M 1s
 50400K .......... .......... .......... .......... .......... 49%  118M 1s
 50450K .......... .......... .......... .......... .......... 49%  117M 1s
 50500K .......... .......... .......... .......... .......... 49%  112M 1s
 50550K .......... .......... .......... .......... .......... 49%  112M 1s
 50600K .......... .......... .......... .......... .......... 49%  115M 1s
 50650K .......... .......... .......... .......... .......... 49%  108M 1s
 50700K .......... .......... .......... .......... .......... 49%  108M 1s
 50750K .......... .......... .......... .......... .......... 49%  109M 1s
 50800K .......... .......... .......... .......... .......... 49%  118M 1s
 50850K .......... .......... .......... .......... .......... 49%  110M 1s
 50900K .......... .......... .......... .......... .......... 49%  104M 1s
 50950K .......... .......... .......... .......... .......... 49%  117M 1s
 51000K .......... .......... .......... .......... .......... 49%  117M 1s
 51050K .......... .......... .......... .......... .......... 49%  114M 1s
 51100K .......... .......... .......... .......... .......... 49%  107M 1s
 51150K .......... .......... .......... .......... .......... 50%  116M 1s
 51200K .......... .......... .......... .......... .......... 50%  108M 1s
 51250K .......... .......... .......... .......... .......... 50%  117M 1s
 51300K .......... .......... .......... .......... .......... 50%  121M 1s
 51350K .......... .......... .......... .......... .......... 50%  102M 1s
 51400K .......... .......... .......... .......... .......... 50%  121M 1s
 51450K .......... .......... .......... .......... .......... 50%  103M 1s
 51500K .......... .......... .......... .......... .......... 50%  114M 1s
 51550K .......... .......... .......... .......... .......... 50%  114M 1s
 51600K .......... .......... .......... .......... .......... 50% 3.82M 1s
 51650K .......... .......... .......... .......... .......... 50%  140M 1s
 51700K .......... .......... .......... .......... .......... 50%  122M 1s
 51750K .......... .......... .......... .......... .......... 50%  112M 1s
 51800K .......... .......... .......... .......... .......... 50%  105M 1s
 51850K .......... .......... .......... .......... .......... 50%  117M 1s
 51900K .......... .......... .......... .......... .......... 50%  113M 1s
 51950K .......... .......... .......... .......... .......... 50%  111M 1s
 52000K .......... .......... .......... .......... .......... 50%  121M 1s
 52050K .......... .......... .......... .......... .......... 50% 97.2M 1s
 52100K .......... .......... .......... .......... .......... 50%  129M 1s
 52150K .......... .......... .......... .......... .......... 50%  110M 1s
 52200K .......... .......... .......... .......... .......... 51%  110M 1s
 52250K .......... .......... .......... .......... .......... 51%  113M 1s
 52300K .......... .......... .......... .......... .......... 51%  109M 1s
 52350K .......... .......... .......... .......... .......... 51%  105M 1s
 52400K .......... .......... .......... .......... .......... 51%  117M 1s
 52450K .......... .......... .......... .......... .......... 51%  117M 1s
 52500K .......... .......... .......... .......... .......... 51%  110M 1s
 52550K .......... .......... .......... .......... .......... 51%  108M 1s
 52600K .......... .......... .......... .......... .......... 51%  124M 1s
 52650K .......... .......... .......... .......... .......... 51%  106M 1s
 52700K .......... .......... .......... .......... .......... 51%  111M 1s
 52750K .......... .......... .......... .......... .......... 51%  113M 1s
 52800K .......... .......... .......... .......... .......... 51% 83.6M 1s
 52850K .......... .......... .......... .......... .......... 51%  134M 1s
 52900K .......... .......... .......... .......... .......... 51%  132M 1s
 52950K .......... .......... .......... .......... .......... 51%  117M 1s
 53000K .......... .......... .......... .......... .......... 51%  107M 1s
 53050K .......... .......... .......... .......... .......... 51%  116M 1s
 53100K .......... .......... .......... .......... .......... 51% 2.75M 1s
 53150K .......... .......... .......... .......... .......... 51%  107M 1s
 53200K .......... .......... .......... .......... .......... 52%  107M 1s
 53250K .......... .......... .......... .......... .......... 52%  119M 1s
 53300K .......... .......... .......... .......... .......... 52%  119M 1s
 53350K .......... .......... .......... .......... .......... 52%  111M 1s
 53400K .......... .......... .......... .......... .......... 52%  102M 1s
 53450K .......... .......... .......... .......... .......... 52%  126M 1s
 53500K .......... .......... .......... .......... .......... 52%  100M 1s
 53550K .......... .......... .......... .......... .......... 52%  120M 1s
 53600K .......... .......... .......... .......... .......... 52%  116M 1s
 53650K .......... .......... .......... .......... .......... 52%  107M 1s
 53700K .......... .......... .......... .......... .......... 52%  118M 1s
 53750K .......... .......... .......... .......... .......... 52%  119M 1s
 53800K .......... .......... .......... .......... .......... 52%  102M 1s
 53850K .......... .......... .......... .......... .......... 52%  109M 1s
 53900K .......... .......... .......... .......... .......... 52%  121M 1s
 53950K .......... .......... .......... .......... .......... 52%  105M 1s
 54000K .......... .......... .......... .......... .......... 52%  116M 1s
 54050K .......... .......... .......... .......... .......... 52%  106M 1s
 54100K .......... .......... .......... .......... .......... 52% 93.3M 1s
 54150K .......... .......... .......... .......... .......... 52%  120M 1s
 54200K .......... .......... .......... .......... .......... 52%  131M 1s
 54250K .......... .......... .......... .......... .......... 53%  111M 1s
 54300K .......... .......... .......... .......... .......... 53%  112M 1s
 54350K .......... .......... .......... .......... .......... 53%  110M 1s
 54400K .......... .......... .......... .......... .......... 53%  120M 1s
 54450K .......... .......... .......... .......... .......... 53%  107M 1s
 54500K .......... .......... .......... .......... .......... 53%  105M 1s
 54550K .......... .......... .......... .......... .......... 53% 3.85M 1s
 54600K .......... .......... .......... .......... .......... 53% 92.9M 1s
 54650K .......... .......... .......... .......... .......... 53%  169M 1s
 54700K .......... .......... .......... .......... .......... 53%  106M 1s
 54750K .......... .......... .......... .......... .......... 53%  111M 1s
 54800K .......... .......... .......... .......... .......... 53%  120M 1s
 54850K .......... .......... .......... .......... .......... 53%  106M 1s
 54900K .......... .......... .......... .......... .......... 53% 86.9M 1s
 54950K .......... .......... .......... .......... .......... 53% 73.4M 1s
 55000K .......... .......... .......... .......... .......... 53%  270M 1s
 55050K .......... .......... .......... .......... .......... 53%  136M 1s
 55100K .......... .......... .......... .......... .......... 53%  126M 1s
 55150K .......... .......... .......... .......... .......... 53%  111M 1s
 55200K .......... .......... .......... .......... .......... 53%  109M 1s
 55250K .......... .......... .......... .......... .......... 54%  111M 1s
 55300K .......... .......... .......... .......... .......... 54%  105M 1s
 55350K .......... .......... .......... .......... .......... 54%  120M 1s
 55400K .......... .......... .......... .......... .......... 54%  110M 1s
 55450K .......... .......... .......... .......... .......... 54%  101M 1s
 55500K .......... .......... .......... .......... .......... 54%  118M 1s
 55550K .......... .......... .......... .......... .......... 54%  110M 1s
 55600K .......... .......... .......... .......... .......... 54%  124M 1s
 55650K .......... .......... .......... .......... .......... 54%  111M 1s
 55700K .......... .......... .......... .......... .......... 54%  112M 1s
 55750K .......... .......... .......... .......... .......... 54%  113M 1s
 55800K .......... .......... .......... .......... .......... 54%  107M 1s
 55850K .......... .......... .......... .......... .......... 54%  114M 1s
 55900K .......... .......... .......... .......... .......... 54%  110M 1s
 55950K .......... .......... .......... .......... .......... 54%  117M 1s
 56000K .......... .......... .......... .......... .......... 54%  109M 1s
 56050K .......... .......... .......... .......... .......... 54% 2.70M 1s
 56100K .......... .......... .......... .......... .......... 54%  323M 1s
 56150K .......... .......... .......... .......... .......... 54%  110M 1s
 56200K .......... .......... .......... .......... .......... 54%  118M 1s
 56250K .......... .......... .......... .......... .......... 54%  118M 1s
 56300K .......... .......... .......... .......... .......... 55%  117M 1s
 56350K .......... .......... .......... .......... .......... 55%  110M 1s
 56400K .......... .......... .......... .......... .......... 55%  117M 1s
 56450K .......... .......... .......... .......... .......... 55%  100M 1s
 56500K .......... .......... .......... .......... .......... 55% 72.6M 1s
 56550K .......... .......... .......... .......... .......... 55%  104M 1s
 56600K .......... .......... .......... .......... .......... 55%  192M 1s
 56650K .......... .......... .......... .......... .......... 55%  132M 1s
 56700K .......... .......... .......... .......... .......... 55%  114M 1s
 56750K .......... .......... .......... .......... .......... 55%  122M 1s
 56800K .......... .......... .......... .......... .......... 55%  110M 1s
 56850K .......... .......... .......... .......... .......... 55%  108M 1s
 56900K .......... .......... .......... .......... .......... 55%  122M 1s
 56950K .......... .......... .......... .......... .......... 55%  108M 1s
 57000K .......... .......... .......... .......... .......... 55%  118M 1s
 57050K .......... .......... .......... .......... .......... 55%  101M 1s
 57100K .......... .......... .......... .......... .......... 55%  112M 1s
 57150K .......... .......... .......... .......... .......... 55%  116M 1s
 57200K .......... .......... .......... .......... .......... 55%  114M 1s
 57250K .......... .......... .......... .......... .......... 55%  116M 1s
 57300K .......... .......... .......... .......... .......... 56%  103M 1s
 57350K .......... .......... .......... .......... .......... 56%  116M 1s
 57400K .......... .......... .......... .......... .......... 56%  111M 1s
 57450K .......... .......... .......... .......... .......... 56%  114M 1s
 57500K .......... .......... .......... .......... .......... 56% 3.82M 1s
 57550K .......... .......... .......... .......... .......... 56%  161M 1s
 57600K .......... .......... .......... .......... .......... 56%  117M 1s
 57650K .......... .......... .......... .......... .......... 56%  116M 1s
 57700K .......... .......... .......... .......... .......... 56%  105M 1s
 57750K .......... .......... .......... .......... .......... 56%  112M 1s
 57800K .......... .......... .......... .......... .......... 56%  102M 1s
 57850K .......... .......... .......... .......... .......... 56%  128M 1s
 57900K .......... .......... .......... .......... .......... 56%  105M 1s
 57950K .......... .......... .......... .......... .......... 56%  123M 1s
 58000K .......... .......... .......... .......... .......... 56%  108M 1s
 58050K .......... .......... .......... .......... .......... 56%  116M 1s
 58100K .......... .......... .......... .......... .......... 56%  113M 1s
 58150K .......... .......... .......... .......... .......... 56%  108M 1s
 58200K .......... .......... .......... .......... .......... 56%  104M 1s
 58250K .......... .......... .......... .......... .......... 56%  124M 1s
 58300K .......... .......... .......... .......... .......... 56%  110M 1s
 58350K .......... .......... .......... .......... .......... 57%  110M 1s
 58400K .......... .......... .......... .......... .......... 57%  114M 1s
 58450K .......... .......... .......... .......... .......... 57%  114M 1s
 58500K .......... .......... .......... .......... .......... 57%  105M 1s
 58550K .......... .......... .......... .......... .......... 57%  111M 1s
 58600K .......... .......... .......... .......... .......... 57%  129M 1s
 58650K .......... .......... .......... .......... .......... 57% 60.8M 1s
 58700K .......... .......... .......... .......... .......... 57%  100M 1s
 58750K .......... .......... .......... .......... .......... 57%  318M 1s
 58800K .......... .......... .......... .......... .......... 57%  135M 1s
 58850K .......... .......... .......... .......... .......... 57%  123M 1s
 58900K .......... .......... .......... .......... .......... 57% 2.72M 1s
 58950K .......... .......... .......... .......... .......... 57% 45.6M 1s
 59000K .......... .......... .......... .......... .......... 57%  253M 1s
 59050K .......... .......... .......... .......... .......... 57% 38.7M 1s
 59100K .......... .......... .......... .......... .......... 57% 47.7M 1s
 59150K .......... .......... .......... .......... .......... 57% 45.6M 1s
 59200K .......... .......... .......... .......... .......... 57%  116M 1s
 59250K .......... .......... .......... .......... .......... 57% 44.6M 1s
 59300K .......... .......... .......... .......... .......... 57% 43.2M 1s
 59350K .......... .......... .......... .......... .......... 58% 48.7M 1s
 59400K .......... .......... .......... .......... .......... 58% 45.0M 1s
 59450K .......... .......... .......... .......... .......... 58%  129M 1s
 59500K .......... .......... .......... .......... .......... 58% 44.3M 1s
 59550K .......... .......... .......... .......... .......... 58% 45.3M 1s
 59600K .......... .......... .......... .......... .......... 58% 45.2M 1s
 59650K .......... .......... .......... .......... .......... 58% 32.9M 1s
 59700K .......... .......... .......... .......... .......... 58%  101M 1s
 59750K .......... .......... .......... .......... .......... 58% 83.1M 1s
 59800K .......... .......... .......... .......... .......... 58% 43.3M 1s
 59850K .......... .......... .......... .......... .......... 58% 44.1M 1s
 59900K .......... .......... .......... .......... .......... 58%  148M 1s
 59950K .......... .......... .......... .......... .......... 58% 43.6M 1s
 60000K .......... .......... .......... .......... .......... 58% 47.7M 1s
 60050K .......... .......... .......... .......... .......... 58% 42.6M 1s
 60100K .......... .......... .......... .......... .......... 58% 43.1M 1s
 60150K .......... .......... .......... .......... .......... 58%  150M 1s
 60200K .......... .......... .......... .......... .......... 58% 46.5M 1s
 60250K .......... .......... .......... .......... .......... 58% 45.7M 1s
 60300K .......... .......... .......... .......... .......... 58% 43.0M 1s
 60350K .......... .......... .......... .......... .......... 58% 40.5M 1s
 60400K .......... .......... .......... .......... .......... 59%  309M 1s
 60450K .......... .......... .......... .......... .......... 59% 49.4M 1s
 60500K .......... .......... .......... .......... .......... 59% 53.0M 1s
 60550K .......... .......... .......... .......... .......... 59% 35.0M 1s
 60600K .......... .......... .......... .......... .......... 59% 64.6M 1s
 60650K .......... .......... .......... .......... .......... 59% 45.0M 1s
 60700K .......... .......... .......... .......... .......... 59%  101M 1s
 60750K .......... .......... .......... .......... .......... 59% 49.2M 1s
 60800K .......... .......... .......... .......... .......... 59% 44.9M 1s
 60850K .......... .......... .......... .......... .......... 59% 46.7M 1s
 60900K .......... .......... .......... .......... .......... 59% 40.1M 1s
 60950K .......... .......... .......... .......... .......... 59% 56.4M 1s
 61000K .......... .......... .......... .......... .......... 59% 85.7M 1s
 61050K .......... .......... .......... .......... .......... 59% 42.8M 1s
 61100K .......... .......... .......... .......... .......... 59% 51.1M 1s
 61150K .......... .......... .......... .......... .......... 59% 41.6M 1s
 61200K .......... .......... .......... .......... .......... 59%  157M 1s
 61250K .......... .......... .......... .......... .......... 59% 45.0M 1s
 61300K .......... .......... .......... .......... .......... 59% 46.3M 1s
 61350K .......... .......... .......... .......... .......... 59% 46.4M 1s
 61400K .......... .......... .......... .......... .......... 60%  102M 1s
 61450K .......... .......... .......... .......... .......... 60% 43.8M 1s
 61500K .......... .......... .......... .......... .......... 60% 45.0M 1s
 61550K .......... .......... .......... .......... .......... 60% 47.4M 1s
 61600K .......... .......... .......... .......... .......... 60% 43.1M 1s
 61650K .......... .......... .......... .......... .......... 60%  146M 1s
 61700K .......... .......... .......... .......... .......... 60% 45.4M 1s
 61750K .......... .......... .......... .......... .......... 60% 41.1M 1s
 61800K .......... .......... .......... .......... .......... 60% 50.2M 1s
 61850K .......... .......... .......... .......... .......... 60% 44.5M 1s
 61900K .......... .......... .......... .......... .......... 60% 12.2M 1s
 61950K .......... .......... .......... .......... .......... 60% 66.3M 1s
 62000K .......... .......... .......... .......... .......... 60% 52.9M 1s
 62050K .......... .......... .......... .......... .......... 60% 40.8M 1s
 62100K .......... .......... .......... .......... .......... 60% 69.8M 1s
 62150K .......... .......... .......... .......... .......... 60% 45.1M 1s
 62200K .......... .......... .......... .......... .......... 60% 42.6M 1s
 62250K .......... .......... .......... .......... .......... 60%  167M 1s
 62300K .......... .......... .......... .......... .......... 60% 43.6M 1s
 62350K .......... .......... .......... .......... .......... 60% 47.2M 1s
 62400K .......... .......... .......... .......... .......... 60% 41.8M 1s
 62450K .......... .......... .......... .......... .......... 61% 44.5M 1s
 62500K .......... .......... .......... .......... .......... 61%  154M 1s
